Title,Lead Actor,Release Year,Genre,
The Shawshank Redemption,Tim Robbins,1994,Drama,
The Godfather,Marlon Brando,1972,Crime,
The Dark Knight,Christian Bale,2008,Action,
Pulp Fiction,John Travolta,1994,Crime,
Schindler's List,Liam Neeson,1993,Biography,
Forrest Gump,Tom Hanks,1994,Drama,
Inception,Leonardo DiCaprio,2010,Sci-Fi,
Fight Club,Brad Pitt,1999,Drama,
The Matrix,Keanu Reeves,1999,Sci-Fi,
Goodfellas,Robert De Niro,1990,Crime,
Se7en,Morgan Freeman,1995,Thriller,
The Silence of the Lambs,Jodie Foster,1991,Crime,
The Usual Suspects,Kevin Spacey,1995,Crime,
Saving Private Ryan,Tom Hanks,1998,Drama,
The Green Mile,Tom Hanks,1999,Fantasy,
Interstellar,Matthew McConaughey,2014,Sci-Fi,
Gladiator,Russell Crowe,2000,Action,
Braveheart,Mel Gibson,1995,Action,
The Departed,Leonardo DiCaprio,2006,Drama,
The Prestige,Hugh Jackman,2006,Drama,
Memento,Guy Pearce,2000,Mystery,
The Wolf of Wall Street,Leonardo DiCaprio,2013,Biography,
Django Unchained,Jamie Foxx,2012,Western,
The Lion King,Matthew Broderick,1994,Animation,
Inglourious Basterds,Brad Pitt,2009,Adventure,
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,2001,Fantasy,
The Lord of the Rings: The Two Towers,Elijah Wood,2002,Fantasy,
The Lord of the Rings: The Return of the King,Elijah Wood,2003,Fantasy,
The Avengers,Robert Downey Jr.,2012,Action,
Avengers: Endgame,Robert Downey Jr.,2019,Action,
Spider-Man: Into the Spider-Verse,Shameik Moore,2018,Animation,
Black Panther,Chadwick Boseman,2018,Adventure,
Joker,Joaquin Phoenix,2019,Crime,
Mad Max: Fury Road,Tom Hardy,2015,Action,
The Social Network,Jesse Eisenberg,2010,Drama,
Parasite,Song Kang-ho,2019,Thriller,
Whiplash,Miles Teller,2014,Music,
La La Land,Ryan Gosling,2016,Drama,
A Star is Born,Bradley Cooper,2018,Drama,
The Revenant,Leonardo DiCaprio,2015,Adventure,
12 Years a Slave,Chiwetel Ejiofor,2013,Biography,
Birdman,Michael Keaton,2014,Drama,
Her,Joaquin Phoenix,2013,Sci-Fi,
Gone Girl,Ben Affleck,2014,Thriller,
The Grand Budapest Hotel,Ralph Fiennes,2014,Comedy,
Moonlight,Mahershala Ali,2016,Drama,
Manchester by the Sea,Casey Affleck,2016,Drama,
Spotlight,Michael Keaton,2015,Biography,
Argo,Ben Affleck,2012,Drama,
The Imitation Game,Benedict Cumberbatch,2014,Biography,
Slumdog Millionaire,Dev Patel,2008,Drama,
The Hurt Locker,Jeremy Renner,2008,Thriller,
No Country for Old Men,Javier Bardem,2007,Thriller,
There Will Be Blood,Daniel Day-Lewis,2007,Drama,
The Dark Knight Rises,Christian Bale,2012,Action,
Shutter Island,Leonardo DiCaprio,2010,Thriller,
The Big Short,Ryan Gosling,2015,Drama,
American Sniper,Bradley Cooper,2014,Biography,
Lincoln,Daniel Day-Lewis,2012,Biography,
The King's Speech,Colin Firth,2010,Drama,
Les Misérables,Hugh Jackman,2012,Drama,
The Great Gatsby,Leonardo DiCaprio,2013,Drama,
Skyfall,Daniel Craig,2012,Action,
Casino Royale,Daniel Craig,2006,Action,
Quantum of Solace,Daniel Craig,2008,Action,
Doctor Strange,Benedict Cumberbatch,2016,Sci-Fi,
Thor: Ragnarok,Chris Hemsworth,2017,Action,
Guardians of the Galaxy,Chris Pratt,2014,Adventure,
Iron Man,Robert Downey Jr.,2008,Action,
Captain America: Civil War,Chris Evans,2016,Action,
Deadpool,Ryan Reynolds,2016,Action,
Wonder Woman,Gal Gadot,2017,Action,
The Hunger Games,Jennifer Lawrence,2012,Adventure,
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe,2001,Fantasy,
Harry Potter and the Deathly Hallows – Part 2,Daniel Radcliffe,2011,Fantasy,
Fantastic Beasts and Where to Find Them,Eddie Redmayne,2016,Fantasy,
Jurassic Park,Sam Neill,1993,Adventure,
The Lost World: Jurassic Park,Jeff Goldblum,1997,Adventure,
Jurassic World,Chris Pratt,2015,Adventure,
Indiana Jones and the Last Crusade,Harrison Ford,1989,Action,
Indiana Jones and the Temple of Doom,Harrison Ford,1984,Action,
Back to the Future,Michael J. Fox,1985,Sci-Fi,
Star Wars: Episode IV - A New Hope,Mark Hamill,1977,Sci-Fi,
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,1980,Sci-Fi,
Star Wars: Episode VI - Return of the Jedi,Mark Hamill,1983,Sci-Fi,
Rogue One: A Star Wars Story,Felicity Jones,2016,Sci-Fi,
Titanic,Leonardo DiCaprio,1997,Drama,
Avatar,Sam Worthington,2009,Action,
The Terminator,Arnold Schwarzenegger,1984,Action,
Terminator 2: Judgment Day,Arnold Schwarzenegger,1991,Action,
Alien,Sigourney Weaver,1979,Sci-Fi,
Aliens,Sigourney Weaver,1986,Sci-Fi,
The Godfather Part II,Al Pacino,1974,Crime,
The Irishman,Robert De Niro,2019,Drama,
Heat,Robert De Niro,1995,Crime,
